SUID	shared name	name	selected	KEGG_NODE_X	KEGG_NODE_Y	KEGG_NODE_WIDTH	KEGG_NODE_HEIGHT	KEGG_NODE_LABEL	KEGG_NODE_LABEL_LIST_FIRST	KEGG_NODE_LABEL_LIST	KEGG_ID	KEGG_NODE_LABEL_COLOR	KEGG_NODE_FILL_COLOR	KEGG_NODE_REACTIONID	KEGG_NODE_TYPE	KEGG_NODE_SHAPE	KEGG_LINK
816	path:eco00260:47	path:eco00260:47	false	162	547	46	17	K17755	K17755	K17755	ko:K17755	#000000	#FFFFFF	rn:R08211	ortholog	rectangle	http://www.kegg.jp/dbget-bin/www_bget?K17755
817	path:eco00260:48	path:eco00260:48	false	688	222	46	17	K12235	K12235	K12235	ko:K12235	#000000	#FFFFFF	rn:R00589	ortholog	rectangle	http://www.kegg.jp/dbget-bin/www_bget?K12235
818	path:eco00260:49	path:eco00260:49	false	1079	909	8	8	C16432	5-Hydroxyectoine	C16432	cpd:C16432	#000000	#FFFFFF		compound	circle	http://www.kegg.jp/dbget-bin/www_bget?C16432
819	path:eco00260:50	path:eco00260:50	false	1023	909	46	17	K10674	K10674	K10674	ko:K10674	#000000	#FFFFFF	rn:R08050	ortholog	rectangle	http://www.kegg.jp/dbget-bin/www_bget?K10674
820	path:eco00260:51	path:eco00260:51	false	99	464	46	17	K00499	K00499	K00499	ko:K00499	#000000	#FFFFFF	rn:R07409	ortholog	rectangle	http://www.kegg.jp/dbget-bin/www_bget?K00499
821	path:eco00260:52	path:eco00260:52	false	978	909	8	8	C06231	Ectoine	C06231	cpd:C06231	#000000	#FFFFFF		compound	circle	http://www.kegg.jp/dbget-bin/www_bget?C06231
822	path:eco00260:53	path:eco00260:53	false	861	909	8	8	C06442	N(gamma)-Acetyldiaminobutyrate	C06442	cpd:C06442	#000000	#FFFFFF		compound	circle	http://www.kegg.jp/dbget-bin/www_bget?C06442
823	path:eco00260:54	path:eco00260:54	false	734	909	8	8	C03283	L-2,4-Diaminobutyrate	C03283	cpd:C03283	#000000	#FFFFFF		compound	circle	http://www.kegg.jp/dbget-bin/www_bget?C03283
824	path:eco00260:55	path:eco00260:55	false	915	910	46	17	K06720	K06720	K06720	ko:K06720	#000000	#FFFFFF	rn:R06979	ortholog	rectangle	http://www.kegg.jp/dbget-bin/www_bget?K06720
825	path:eco00260:56	path:eco00260:56	false	792	910	46	17	K06718	K06718	K06718	ko:K06718	#000000	#FFFFFF	rn:R06978	ortholog	rectangle	http://www.kegg.jp/dbget-bin/www_bget?K06718
826	path:eco00260:57	path:eco00260:57	false	663	909	46	17	K00836	K00836	K00836	ko:K00836	#000000	#FFFFFF	rn:R06977	ortholog	rectangle	http://www.kegg.jp/dbget-bin/www_bget?K00836
827	path:eco00260:58	path:eco00260:58	false	99	483	46	17	K17755	K17755	K17755	ko:K17755	#000000	#FFFFFF	rn:R01022	ortholog	rectangle	http://www.kegg.jp/dbget-bin/www_bget?K17755
828	path:eco00260:59	path:eco00260:59	false	149	464	46	17	betA	betA	betA	eco:b0311	#000000	#BFFFBF	rn:R01025	gene	rectangle	http://www.kegg.jp/dbget-bin/www_bget?eco:b0311
829	path:eco00260:61	path:eco00260:61	false	162	526	46	17	betB	betB	betB	eco:b0312	#000000	#BFFFBF	rn:R02565 rn:R02566	gene	rectangle	http://www.kegg.jp/dbget-bin/www_bget?eco:b0312
